year,month,average_ppb,average_ppm,average_unc
1983,7,1625.91,1.62591,2.1
1983,8,1628.07,1.62807,2.69
1983,9,1638.43,1.63843,2.33
1983,10,1644.79,1.64479,1.59
1983,11,1642.62,1.64262,0.78
1983,12,1639.5,1.6395,1.01
1984,1,1638.66,1.63866,1.78
1984,2,1638.79,1.63879,2.05
1984,3,1640.7,1.6407,1.81
1984,4,1643.71,1.64371,1.93
1984,5,1642.91,1.64291,1.09
1984,6,1639.6,1.6396,0.9
1984,7,1637.77,1.63777,1.1
1984,8,1641.38,1.64138,1.51
1984,9,1650.4,1.6504,1.21
1984,10,1654.48,1.65448,1.54
1984,11,1653.69,1.65369,1.08
1984,12,1656.12,1.65612,1.23
1985,1,1655.57,1.65557,1.26
1985,2,1652.25,1.65225,1.39
1985,3,1654.6,1.6546,0.99
1985,4,1658.19,1.65819,0.9
1985,5,1655.9,1.6559,1.27
1985,6,1650.04,1.65004,1.35
1985,7,1646.75,1.64675,1.36
1985,8,1652.22,1.65222,1.42
1985,9,1662.5,1.6625,1.34
1985,10,1667.52,1.66752,1.23
1985,11,1666.82,1.66682,1.32
1985,12,1666.05,1.66605,1.2
1986,1,1666.24,1.66624,1.25
1986,2,1666.87,1.66687,1.76
1986,3,1669.24,1.66924,1.31
1986,4,1670.81,1.67081,1.46
1986,5,1668.46,1.66846,0.91
1986,6,1664.76,1.66476,1.3
1986,7,1662.3,1.6623,1.36
1986,8,1664.38,1.66438,1.89
1986,9,1672.58,1.67258,1.69
1986,10,1678.67,1.67867,1.54
1986,11,1679.01,1.67901,1.69
1986,12,1679.11,1.67911,1.18
1987,1,1679.32,1.67932,1.13
1987,2,1679.01,1.67901,1.07
1987,3,1680.1,1.6801,0.87
1987,4,1681.43,1.68143,0.94
1987,5,1681.89,1.68189,0.96
1987,6,1680,1.68,0.97
1987,7,1675.97,1.67597,0.86
1987,8,1677.17,1.67717,0.83
1987,9,1685.6,1.6856,0.91
1987,10,1691.56,1.69156,0.83
1987,11,1691.18,1.69118,0.73
1987,12,1690.49,1.69049,0.88
1988,1,1691.95,1.69195,0.83
1988,2,1692.49,1.69249,0.81
1988,3,1691.27,1.69127,0.99
1988,4,1690,1.69,1
1988,5,1689.05,1.68905,1.03
1988,6,1687.12,1.68712,1.1
1988,7,1685.89,1.68589,0.75
1988,8,1689.38,1.68938,1
1988,9,1696.26,1.69626,1.21
1988,10,1701.3,1.7013,1.25
1988,11,1702.92,1.70292,1.2
1988,12,1701.98,1.70198,1.02
1989,1,1700.56,1.70056,0.96
1989,2,1701.09,1.70109,1.07
1989,3,1702.52,1.70252,1.26
1989,4,1703.67,1.70367,1.02
1989,5,1703.44,1.70344,0.49
1989,6,1700.23,1.70023,0.83
1989,7,1698.21,1.69821,0.87
1989,8,1701.99,1.70199,0.97
1989,9,1707.17,1.70717,1.02
1989,10,1710.51,1.71051,1.09
1989,11,1713.1,1.7131,0.86
1989,12,1713.16,1.71316,0.87
1990,1,1711.99,1.71199,1.13
1990,2,1713.36,1.71336,1.29
1990,3,1714.34,1.71434,0.94
1990,4,1712.64,1.71264,0.96
1990,5,1710.7,1.7107,1
1990,6,1708.31,1.70831,0.8
1990,7,1706.35,1.70635,0.72
1990,8,1710.12,1.71012,1.32
1990,9,1717.55,1.71755,1.44
1990,10,1722.03,1.72203,1.05
1990,11,1723.52,1.72352,0.93
1990,12,1723.35,1.72335,1.01
1991,1,1721.61,1.72161,1.16
1991,2,1721.23,1.72123,1.16
1991,3,1722.12,1.72212,0.97
1991,4,1722.54,1.72254,1.07
1991,5,1722.22,1.72222,1.11
1991,6,1718.98,1.71898,1.17
1991,7,1716.06,1.71606,1.01
1991,8,1719.26,1.71926,1.13
1991,9,1726.17,1.72617,1.51
1991,10,1732.74,1.73274,0.97
1991,11,1737.52,1.73752,0.92
1991,12,1739.65,1.73965,1.01
1992,1,1738.87,1.73887,0.97
1992,2,1737.35,1.73735,1
1992,3,1736.94,1.73694,0.92
1992,4,1736.63,1.73663,0.57
1992,5,1734.95,1.73495,0.78
1992,6,1731.57,1.73157,1.08
1992,7,1728.87,1.72887,1.19
1992,8,1730.44,1.73044,1.07
1992,9,1734.68,1.73468,0.77
1992,10,1737.75,1.73775,0.75
1992,11,1739.32,1.73932,1.05
1992,12,1738.56,1.73856,0.93
1993,1,1735.75,1.73575,0.84
1993,2,1734.4,1.7344,0.87
1993,3,1735.49,1.73549,0.9
1993,4,1736.68,1.73668,0.69
1993,5,1734.99,1.73499,0.77
1993,6,1730.82,1.73082,0.9
1993,7,1728.01,1.72801,0.96
1993,8,1731.21,1.73121,1
1993,9,1738.47,1.73847,0.98
1993,10,1743.34,1.74334,0.95
1993,11,1745.19,1.74519,0.8
1993,12,1744.26,1.74426,0.9
1994,1,1741.41,1.74141,0.94
1994,2,1740.87,1.74087,1
1994,3,1741.91,1.74191,0.89
1994,4,1741.92,1.74192,0.75
1994,5,1740.66,1.74066,1.08
1994,6,1736.89,1.73689,1.25
1994,7,1732.4,1.7324,1.18
1994,8,1734.1,1.7341,1.17
1994,9,1742.95,1.74295,0.91
1994,10,1749.83,1.74983,0.69
1994,11,1751.26,1.75126,0.75
1994,12,1751.55,1.75155,0.81
1995,1,1751.03,1.75103,0.91
1995,2,1749.4,1.7494,0.92
1995,3,1748.93,1.74893,0.65
1995,4,1749.45,1.74945,0.74
1995,5,1747.73,1.74773,1.04
1995,6,1742.81,1.74281,0.98
1995,7,1740.06,1.74006,0.97
1995,8,1743.51,1.74351,1.24
1995,9,1749.7,1.7497,1.2
1995,10,1754.23,1.75423,0.71
1995,11,1755.33,1.75533,0.85
1995,12,1753.73,1.75373,0.93
1996,1,1752.33,1.75233,0.96
1996,2,1752.93,1.75293,1.02
1996,3,1752.37,1.75237,0.9
1996,4,1749.88,1.74988,0.9
1996,5,1748.65,1.74865,0.99
1996,6,1746.18,1.74618,0.97
1996,7,1742.21,1.74221,0.93
1996,8,1744.7,1.7447,1.26
1996,9,1753.01,1.75301,1.37
1996,10,1758.96,1.75896,0.97
1996,11,1759.92,1.75992,0.9
1996,12,1756.81,1.75681,0.78
1997,1,1753.36,1.75336,0.88
1997,2,1753.84,1.75384,0.97
1997,3,1755.62,1.75562,0.76
1997,4,1755.54,1.75554,0.88
1997,5,1753.91,1.75391,0.66
1997,6,1750.16,1.75016,0.86
1997,7,1746.17,1.74617,0.96
1997,8,1747.97,1.74797,0.86
1997,9,1755.07,1.75507,0.87
1997,10,1760.22,1.76022,0.74
1997,11,1761.69,1.76169,0.85
1997,12,1761.9,1.7619,0.72
1998,1,1761.49,1.76149,0.83
1998,2,1761.56,1.76156,1.34
1998,3,1763.01,1.76301,1.54
1998,4,1764.7,1.7647,1.06
1998,5,1764.23,1.76423,0.83
1998,6,1760.3,1.7603,0.65
1998,7,1756.13,1.75613,0.94
1998,8,1760.1,1.7601,0.89
1998,9,1770.48,1.77048,1.26
1998,10,1776.19,1.77619,1.21
1998,11,1775.59,1.77559,0.83
1998,12,1774.16,1.77416,0.81
1999,1,1773.98,1.77398,0.97
1999,2,1774.17,1.77417,1.35
1999,3,1774.73,1.77473,1.13
1999,4,1774.95,1.77495,0.74
1999,5,1772.68,1.77268,0.88
1999,6,1767.39,1.76739,0.85
1999,7,1762.99,1.76299,0.8
1999,8,1764.74,1.76474,0.83
1999,9,1771.1,1.7711,0.86
1999,10,1776.63,1.77663,0.84
1999,11,1778.58,1.77858,0.68
1999,12,1777.28,1.77728,0.73
2000,1,1775.71,1.77571,1
2000,2,1775.83,1.77583,1.23
2000,3,1776.82,1.77682,1.33
2000,4,1777.37,1.77737,1.28
2000,5,1774.65,1.77465,1.1
2000,6,1768.19,1.76819,0.97
2000,7,1763.59,1.76359,0.77
2000,8,1765.68,1.76568,1.08
