year,month,average_ppm
1850,1,284.9446562
1850,2,285.3337918
1850,3,285.6828253
1850,4,285.9311789
1850,5,285.8859284
1850,6,285.1664098
1850,7,283.5354352
1850,8,281.936465
1850,9,281.9010506
1850,10,282.941449
1850,11,283.9505874
1850,12,284.5942209
1851,1,285.0621863
1851,2,285.4546126
1851,3,285.8070196
1851,4,286.0587456
1851,5,286.0166887
1851,6,285.300121
1851,7,283.6719926
1851,8,282.0757387
1851,9,282.0426887
1851,10,283.0851642
1851,11,284.0960266
1851,12,284.7410136
1852,1,285.2100383
1852,2,285.6031281
1852,3,285.9558878
1852,4,286.2076886
1852,5,286.1653578
1852,6,285.448222
1852,7,283.8195054
1852,8,282.2226858
1852,9,282.1888641
1852,10,283.2304444
1852,11,284.2402286
1852,12,284.8839471
1853,1,285.3515463
1853,2,285.7430889
1853,3,286.0942212
1853,4,286.344358
1853,5,286.3002771
1853,6,285.5813688
1853,7,283.9511191
1853,8,282.3530427
1853,9,282.3179987
1853,10,283.3584272
1853,11,284.367037
1853,12,285.009513
1854,1,285.4757809
1854,2,285.8659219
1854,3,286.2155683
1854,4,286.4641352
1854,5,286.4183194
1854,6,285.6975279
1854,7,284.0654355
1854,8,282.465574
1854,9,282.4286343
1854,10,283.4671375
1854,11,284.4737613
1854,12,285.1142013
1855,1,285.5784049
1855,2,285.9665401
1855,3,286.314267
1855,4,286.5610497
1855,5,286.513567
1855,6,285.791289
1855,7,284.1580954
1855,8,282.5575664
1855,9,282.5202486
1855,10,283.5587183
1855,11,284.5656163
1855,12,285.2066348
1856,1,285.6717931
1856,2,286.0611787
1856,3,286.41053
1856,4,286.6593441
1856,5,286.614257
1856,6,285.8947881
1856,7,284.2650273
1856,8,282.6685775
1856,9,282.6357267
1856,10,283.6789962
1856,11,284.6908672
1856,12,285.3369114
1857,1,285.8071838
1857,2,286.2014091
1857,3,286.5553706
1857,4,286.8084905
1857,5,286.7672209
1857,6,286.0510293
1857,7,284.424185
1857,8,282.8302422
1857,9,282.7992596
1857,10,283.8438989
1857,11,284.8566318
1857,12,285.5030756
1858,1,285.9734285
1858,2,286.367388
1858,3,286.7208902
1858,4,286.9734605
1858,5,286.9315385
1858,6,286.2147189
1858,7,284.5876454
1858,8,282.9939738
1858,9,282.9634879
1858,10,284.0088948
1858,11,285.0225514
1858,12,285.6700192
1859,1,286.1415452
1859,2,286.5366916
1859,3,286.891454
1859,4,287.1453629
1859,5,287.1047398
1859,6,286.389211
1859,7,284.7637144
1859,8,283.1719199
1859,9,283.1432972
1859,10,284.1906147
1859,11,285.2061195
1859,12,285.8553265
1860,1,286.3285615
1860,2,286.7252252
1860,3,287.0814033
1860,4,287.3366462
1860,5,287.2971583
1860,6,286.5826143
1860,7,284.95829
1860,8,283.3678828
1860,9,283.3405111
1860,10,284.388992
1860,11,285.4054331
1860,12,286.0552788
1861,1,286.528879
1861,2,286.9255323
1861,3,287.28136
1861,4,287.5359123
1861,5,287.495257
1861,6,286.7790974
1861,7,285.1530273
1861,8,283.5607546
1861,9,283.5310936
1861,10,284.5770256
1861,11,285.5906369
1861,12,286.2374205
1862,1,286.7078087
1862,2,287.101245
1862,3,287.4539441
1862,4,287.7055701
1862,5,287.662188
1862,6,286.94364
1862,7,285.3159085
1862,8,283.7228207
1862,9,283.69292
1862,10,284.7391779
1862,11,285.753503
1862,12,286.4012704
1863,1,286.8728845
1863,2,287.2676245
1863,3,287.6216871
1863,4,287.8746797
1863,5,287.83249
1863,6,287.1149283
1863,7,285.4882009
