year,month,average_ppb,average_ppm,average_unc
2001,1,316.3,0.3163,0.17
2001,2,316.31,0.31631,0.18
2001,3,316.21,0.31621,0.17
2001,4,316.12,0.31612,0.15
2001,5,316.11,0.31611,0.15
2001,6,316.16,0.31616,0.15
2001,7,316.23,0.31623,0.15
2001,8,316.3,0.3163,0.15
2001,9,316.41,0.31641,0.15
2001,10,316.59,0.31659,0.16
2001,11,316.76,0.31676,0.16
2001,12,316.87,0.31687,0.16
2002,1,316.93,0.31693,0.16
2002,2,316.97,0.31697,0.16
2002,3,316.96,0.31696,0.15
2002,4,316.9,0.3169,0.14
2002,5,316.85,0.31685,0.14
2002,6,316.83,0.31683,0.14
2002,7,316.82,0.31682,0.14
2002,8,316.82,0.31682,0.14
2002,9,316.87,0.31687,0.13
2002,10,316.99,0.31699,0.13
2002,11,317.13,0.31713,0.12
2002,12,317.24,0.31724,0.13
2003,1,317.29,0.31729,0.12
2003,2,317.34,0.31734,0.12
2003,3,317.4,0.3174,0.12
2003,4,317.47,0.31747,0.12
2003,5,317.51,0.31751,0.13
2003,6,317.53,0.31753,0.13
2003,7,317.57,0.31757,0.13
2003,8,317.63,0.31763,0.13
2003,9,317.76,0.31776,0.14
2003,10,317.93,0.31793,0.14
2003,11,318.04,0.31804,0.15
2003,12,318.11,0.31811,0.15
2004,1,318.18,0.31818,0.15
2004,2,318.2,0.3182,0.14
2004,3,318.17,0.31817,0.14
2004,4,318.14,0.31814,0.14
2004,5,318.14,0.31814,0.14
2004,6,318.13,0.31813,0.14
2004,7,318.13,0.31813,0.14
2004,8,318.17,0.31817,0.14
2004,9,318.23,0.31823,0.15
2004,10,318.34,0.31834,0.14
2004,11,318.56,0.31856,0.14
2004,12,318.76,0.31876,0.13
2005,1,318.87,0.31887,0.13
2005,2,318.9,0.3189,0.12
2005,3,318.87,0.31887,0.11
2005,4,318.79,0.31879,0.11
2005,5,318.66,0.31866,0.11
2005,6,318.6,0.3186,0.12
2005,7,318.65,0.31865,0.12
2005,8,318.77,0.31877,0.12
2005,9,318.9,0.3189,0.12
2005,10,319.1,0.3191,0.12
2005,11,319.36,0.31936,0.13
2005,12,319.57,0.31957,0.13
2006,1,319.73,0.31973,0.13
2006,2,319.8,0.3198,0.13
2006,3,319.77,0.31977,0.14
2006,4,319.7,0.3197,0.14
2006,5,319.68,0.31968,0.15
2006,6,319.66,0.31966,0.15
2006,7,319.63,0.31963,0.15
2006,8,319.67,0.31967,0.15
2006,9,319.82,0.31982,0.15
2006,10,320,0.32,0.15
2006,11,320.16,0.32016,0.15
2006,12,320.26,0.32026,0.15
2007,1,320.36,0.32036,0.15
2007,2,320.38,0.32038,0.15
2007,3,320.29,0.32029,0.15
2007,4,320.19,0.32019,0.15
2007,5,320.23,0.32023,0.15
2007,6,320.25,0.32025,0.15
2007,7,320.19,0.32019,0.15
2007,8,320.23,0.32023,0.15
2007,9,320.46,0.32046,0.15
2007,10,320.74,0.32074,0.14
2007,11,320.96,0.32096,0.14
2007,12,321.15,0.32115,0.15
2008,1,321.33,0.32133,0.15
2008,2,321.39,0.32139,0.14
2008,3,321.38,0.32138,0.14
2008,4,321.39,0.32139,0.14
2008,5,321.43,0.32143,0.15
2008,6,321.45,0.32145,0.16
2008,7,321.42,0.32142,0.16
2008,8,321.39,0.32139,0.15
2008,9,321.48,0.32148,0.15
2008,10,321.65,0.32165,0.15
2008,11,321.8,0.3218,0.15
2008,12,321.97,0.32197,0.16
2009,1,322.21,0.32221,0.15
2009,2,322.35,0.32235,0.15
2009,3,322.27,0.32227,0.14
2009,4,322.1,0.3221,0.14
2009,5,321.98,0.32198,0.13
2009,6,321.95,0.32195,0.13
2009,7,322.02,0.32202,0.13
2009,8,322.15,0.32215,0.13
2009,9,322.3,0.3223,0.13
2009,10,322.51,0.32251,0.13
2009,11,322.7,0.3227,0.14
2009,12,322.84,0.32284,0.14
2010,1,322.91,0.32291,0.14
2010,2,322.93,0.32293,0.14
2010,3,322.94,0.32294,0.13
2010,4,322.97,0.32297,0.13
